name,city,label_id,address,imgsUrl,score,averagePrice,lat,lng
西安大秦温泉景区,1,"[""滑雪泡汤""]",西安市三桥天台路A15号,http://zxwpic.weiyoutong.com/c41b48e4-58ed-42fb-b1ef-8cef8093e7ec.jpg,4.6,199.0,34.2915525,108.8201623
西咸沣东沣河生态景区,1,"[""自然生态""]",沣东新城斗门街办北村34号,http://zxwpic.weiyoutong.com/792a8a85-6ad4-4cca-bdfd-7a711e44554e.jpg,4.7,,22.261201,113.280919
西安城墙景区,1,"[""历史人文""]",南大街2号,http://zxwpic.weiyoutong.com/a2d8df17-ad2c-4641-929d-270fe114be7f.jpg,4.7,,39.964914,116.322978
辋川溶洞风景区,1,"[""自然生态""]",蓝田辋川镇锡水村,http://zxwpic.weiyoutong.com/ba2f853f-7dd6-461c-b7c6-ec7a5e2d9efc.jpg,4.2,122.0,34.053837,109.363749
金鼎蓝田玉文化石艺博览园,1,"[""历史人文""]",蓝田县焦岱镇焦岱初中南500米,http://zxwpic.weiyoutong.com/f750b996-2443-4940-9a91-7a042f4651f1.jpg,0.0,,34.0600429,109.2547062
西安鲸鱼沟竹海风景区,1,"[""都市玩乐""]",灞桥区狄寨街办西车村,http://zxwpic.weiyoutong.com/59b38a23-e7ed-4fcd-86aa-8fa4a34b038c.jpg,0.0,,34.208935,109.11625
西安贾平凹文化艺术馆,1,"[""历史人文""]",凤凰大道芷阳三路9号 ,http://zxwpic.weiyoutong.com/dfe1bae4-aede-4382-902c-488c4a8746f3.jpg,4.5,
高陵场畔,1,"[""民俗风情""]",高陵区通远镇仁村,http://zxwpic.weiyoutong.com/cc83ea6e-6521-4caf-9295-454555b780b7.jpg,0.0,,34.590373,109.067615
西安华南城景区,1,"[""都市玩乐""]",国际港务区港务大道8号,http://zxwpic.weiyoutong.com/2362e80f-96cc-4df5-a5e9-2078fc2524c8.jpg,5.0,,34.366933,109.066368
蔡文姬纪念馆,1,"[""历史人文""]",蓝田县文姬路中段（工业园区）,http://zxwpic.weiyoutong.com/eb3e808e-ce87-4700-bf1b-3dd3803d24f2.jpg,0.0,,34.178984,109.301102
石羊农庄生态休闲观光园,1,"[""都市玩乐""]",雁翔路93号,http://zxwpic.weiyoutong.com/a4872e0c-bffd-49d4-9b9a-ee64d6b2a1e9.jpg,0.0,78.0,34.2281264,108.9956936
广新园民族村,1,"[""民俗风情""]",长安区沣峪口内18公里处（210国道48公里处）,http://zxwpic.weiyoutong.com/23311793-0877-4b06-9d69-baa0794f5a22.jpg,0.0,,34.065379,108.825997
白鹿原葡萄主题公园,1,"[""都市玩乐""]",灞桥区狄寨街办南枝白村村西,http://zxwpic.weiyoutong.com/d82079ce-7d55-4a36-b677-f7d0e4f13658.jpg,0.0,,34.208935,109.11625
西安流峪飞峡生态旅游区,1,"[""自然生态""]",蓝田县九间房镇柿子园村,http://zxwpic.weiyoutong.com/6a71b0c3-7b2b-4b78-8bb1-b4aa2a635b94.png,4.5,,34.186083,109.510732
长安万华山景区,1,"[""自然生态""]",西安市长安区滦镇北石槽村,http://zxwpic.weiyoutong.com/974174eb-5bfd-4689-912f-8facc09c97ab.jpg,0.0,30.0,33.962778,108.845137
